time x y z
-8.016032064128257861e-01 2.303513014943532511e+01 1.715581336468073061e+02 -7.349504202640476436e+00
-7.975951903807616539e-01 2.302634921019773273e+01 1.709894346397352081e+02 -7.806008538883126846e+00
-7.935871743486975216e-01 2.301622510196247262e+01 1.704088144684963595e+02 -8.266300626198976431e+00
-7.895791583166333893e-01 2.300610099372721606e+01 1.698281942972575109e+02 -8.726592713514826016e+00
-7.855711422845692571e-01 2.299597688549195951e+01 1.692475741260186624e+02 -9.186884800830673825e+00
-7.815631262525051248e-01 2.298585277725670295e+01 1.686669539547797854e+02 -9.647176888146523410e+00
-7.775551102204409926e-01 2.297413073187408727e+01 1.680738687083398304e+02 -1.010872075206732390e+01
-7.735470941883768603e-01 2.296138705454480800e+01 1.674728139875909676e+02 -1.057106493217817267e+01
-7.695390781563127280e-01 2.294864337721552516e+01 1.668717592668421048e+02 -1.103340911228902321e+01
-7.655310621242485958e-01 2.293589969988624233e+01 1.662707045460932420e+02 -1.149575329239987376e+01
-7.615230460921844635e-01 2.292315602255695950e+01 1.656696498253444076e+02 -1.195809747251072253e+01
-7.575150300601203313e-01 2.290924599149746754e+01 1.650617340676616038e+02 -1.241711523352391922e+01
-7.535070140280561990e-01 2.289462109847429971e+01 1.644496131583096314e+02 -1.287409422154177818e+01
-7.494989979959920667e-01 2.287999620545113544e+01 1.638374922489576306e+02 -1.333107320955963715e+01
-7.454909819639279345e-01 2.286537131242796761e+01 1.632253713396056582e+02 -1.378805219757749789e+01
-7.414829659318638022e-01 2.285074641940480333e+01 1.626132504302536859e+02 -1.424503118559535686e+01
-7.374749498997996700e-01 2.283540152313657501e+01 1.620000598894530697e+02 -1.469395721311519765e+01
-7.334669338677355377e-01 2.281963376781966346e+01 1.613862411524048639e+02 -1.513815372415207250e+01
-7.294589178356714054e-01 2.280386601250274836e+01 1.607724224153566581e+02 -1.558235023518894913e+01
-7.254509018036072732e-01 2.278809825718583681e+01 1.601586036783084239e+02 -1.602654674622582576e+01
-7.214428857715431409e-01 2.277233050186892527e+01 1.595447849412602181e+02 -1.647074325726270061e+01
-7.174348697394790086e-01 2.275616502038883482e+01 1.589341397648081511e+02 -1.690321916486573528e+01
-7.134268537074148764e-01 2.273977581794195757e+01 1.583252797161914316e+02 -1.732910223303723285e+01
-7.094188376753507441e-01 2.272338661549508032e+01 1.577164196675746837e+02 -1.775498530120873042e+01
-7.054108216432866119e-01 2.270699741304820662e+01 1.571075596189579642e+02 -1.818086836938022799e+01
-7.014028056112224796e-01 2.269060821060132938e+01 1.564986995703412447e+02 -1.860675143755172556e+01
-6.973947895791583473e-01 2.267358994796192562e+01 1.558903386082622831e+02 -1.902204006944522874e+01
-6.933867735470942151e-01 2.265623296060346803e+01 1.552822463850883139e+02 -1.943162400488135333e+01
-6.893787575150300828e-01 2.263887597324501044e+01 1.546741541619143447e+02 -1.984120794031747792e+01
-6.853707414829659506e-01 2.262151898588655285e+01 1.540660619387403756e+02 -2.025079187575359896e+01
-6.813627254509018183e-01 2.260416199852809527e+01 1.534579697155664064e+02 -2.066037581118972355e+01
-6.773547094188376860e-01 2.258579451095612711e+01 1.528458284700578247e+02 -2.106177673424867791e+01
-6.733466933867735538e-01 2.256690646266811129e+01 1.522316013645586850e+02 -2.145896216608302609e+01
-6.693386773547094215e-01 2.254801841438009191e+01 1.516173742590595452e+02 -2.185614759791737782e+01
-6.653306613226455113e-01 2.252913036609207609e+01 1.510031471535604339e+02 -2.225333302975170469e+01
-6.613226452905813790e-01 2.251024231780405671e+01 1.503889200480613226e+02 -2.265051846158605642e+01
-6.573146292585172468e-01 2.248995106376119324e+01 1.497659577571998284e+02 -2.304201031752673146e+01
-6.533066132264531145e-01 2.246896867852564128e+01 1.491386930616076540e+02 -2.343069787489291045e+01
-6.492985971943889822e-01 2.244798629329008932e+01 1.485114283660154513e+02 -2.381938543225908944e+01
-6.452905811623248500e-01 2.242700390805453736e+01 1.478841636704232769e+02 -2.420807298962526843e+01
-6.412825651302607177e-01 2.240602152281898540e+01 1.472568989748310742e+02 -2.459676054699144743e+01
-6.372745490981965855e-01 2.238323196076688504e+01 1.466160748766934603e+02 -2.498232197753011974e+01
-6.332665330661324532e-01 2.235959196256582260e+01 1.459688698832403304e+02 -2.536641228956172966e+01
-6.292585170340683209e-01 2.233595196436476016e+01 1.453216648897872290e+02 -2.575050260159333959e+01
-6.252505010020041887e-01 2.231231196616369417e+01 1.446744598963340991e+02 -2.613459291362494952e+01
-6.212424849699400564e-01 2.228867196796263173e+01 1.440272549028809692e+02 -2.651868322565655944e+01
-6.172344689378759242e-01 2.226286746863181776e+01 1.433627459637167476e+02 -2.690156260481923667e+01
-6.132264529058117919e-01 2.223609051227169786e+01 1.426904627880736314e+02 -2.728389794167848237e+01
-6.092184368737476596e-01 2.220931355591157441e+01 1.420181796124305151e+02 -2.766623327853772452e+01
-6.052104208416835274e-01 2.218253659955145096e+01 1.413458964367873989e+02 -2.804856861539696666e+01
-6.012024048096193951e-01 2.215575964319132751e+01 1.406736132611442827e+02 -2.843090395225620881e+01
-5.971943887775552628e-01 2.212668628079277511e+01 1.399851203445666954e+02 -2.881103699048842870e+01
-5.931863727454911306e-01 2.209662874437774605e+01 1.392896803961600369e+02 -2.919022618645192679e+01
-5.891783567134269983e-01 2.206657120796272054e+01 1.385942404477533785e+02 -2.956941538241542133e+01
-5.851703406813628661e-01 2.203651367154769147e+01 1.378988004993467484e+02 -2.994860457837891587e+01
-5.811623246492987338e-01 2.200645613513266596e+01 1.372033605509400900e+02 -3.032779377434241397e+01
-5.771543086172346015e-01 2.197402700621794835e+01 1.364940965192056694e+02 -3.070301004773663323e+01
-5.731462925851704693e-01 2.194062919867660000e+01 1.357791860309007745e+02 -3.107660357810960150e+01
-5.691382765531063370e-01 2.190723139113525164e+01 1.350642755425958512e+02 -3.145019710848256977e+01
-5.651302605210422048e-01 2.187383358359389973e+01 1.343493650542909563e+02 -3.182379063885553450e+01
-5.611222444889780725e-01 2.184043577605255138e+01 1.336344545659860330e+02 -3.219738416922850632e+01
-5.571142284569139402e-01 2.180458999572882561e+01 1.329081793766173973e+02 -3.256518516259604468e+01
-5.531062124248498080e-01 2.176779222598973362e+01 1.321774845812794865e+02 -3.293073350268370092e+01
-5.490981963927856757e-01 2.173099445625063808e+01 1.314467897859416041e+02 -3.329628184277135716e+01
-5.450901803607215435e-01 2.169419668651154609e+01 1.307160949906037217e+02 -3.366183018285901341e+01
-5.410821643286574112e-01 2.165739891677245410e+01 1.299854001952658109e+02 -3.402737852294666965e+01
-5.370741482965932789e-01 2.161807560014687368e+01 1.292458738057855214e+02 -3.438526572109886104e+01
-5.330661322645291467e-01 2.157781817713862083e+01 1.285030809362799573e+02 -3.474031934620642659e+01
-5.290581162324650144e-01 2.153756075413037152e+01 1.277602880667743790e+02 -3.509537297131398503e+01
-5.250501002004008821e-01 2.149730333112211866e+01 1.270174951972688007e+02 -3.545042659642155058e+01
-5.210420841683367499e-01 2.145704590811386581e+01 1.262747023277632366e+02 -3.580548022152911614e+01
-5.170340681362726176e-01 2.141405707456705798e+01 1.255237178908657825e+02 -3.615140768874412913e+01
-5.130260521042084854e-01 2.137010855623643124e+01 1.247698553356955244e+02 -3.649412866805095490e+01
-5.090180360721443531e-01 2.132616003790580450e+01 1.240159927805252664e+02 -3.683684964735778067e+01
-5.050100200400802208e-01 2.128221151957517776e+01 1.232621302253549942e+02 -3.717957062666459933e+01
